player_age,b_k_pct,b_bb_pct,ops,exit_velocity_avg,launch_angle_avg,barrel_batted_rate,solidcontact_pct,hard_hit_pct,z_swing_pct,z_swing_miss_pct,oz_swing_pct,oz_swing_miss_pct,oz_contact_pct,iz_contact_pct
30,32.9,10.4,71.5,89.9,20.7,10.9,8.7,41.3,59.9,26.8,19.7,55.2,44.8,73.2
26,31.4,13.9,73.4,92.3,19.6,12.8,8.3,45.9,67.4,29.5,19.8,51.9,48.1,70.5
27,27.5,7.8,71.6,91.1,10.4,4.5,10.6,47,62.2,13.1,24.2,54.5,45.5,86.9
26,21.1,4.2,70.6,90,10.7,3.8,6.4,41.4,68.9,18.8,41.6,37.2,62.8,81.2
27,27.8,6.1,67.2,90.5,10.5,12,4,45.3,61,19.2,29.5,58.6,41.4,80.8
26,22.2,7.2,70.9,88.6,11.4,5.9,6.5,41.8,65.7,14.4,31.8,40.8,59.2,85.6
37,17,7,70.5,88.8,7.3,6.6,6.6,39.5,65.9,12.3,35.7,35.2,64.8,87.7
22,21.2,5.3,73.2,86.8,13.5,3.3,4.4,26.4,73.2,18,30.8,40.5,59.5,82
27,27.6,11.7,71.1,92.4,9.3,10.5,7,52.3,58.5,20.5,21.6,45.6,54.4,79.5
39,12.5,7.9,73.4,88.3,12.6,5.8,3.7,36.6,59.7,11.1,30.7,30.2,69.8,88.9
37,12.8,5.1,71.1,87.4,13.9,3.8,7.4,35,75.3,14.6,38.2,27,73,85.4
37,16.3,5.9,73.6,90.9,7.4,7.4,6.2,46.3,74.2,10.8,35.5,35.3,64.7,89.2
34,19.1,5.9,72.7,86.1,13.4,6.7,5.4,31,71.6,15.1,39.1,45.8,54.2,84.9
35,16.8,9.8,73.4,88.8,11.4,5.7,6.5,35.2,64.2,15.9,27,25.3,74.7,84.1
32,27.9,8.9,72.4,88.6,16.2,8.3,5.5,34.3,65.3,21.7,26.6,39.2,60.8,78.3
34,29.5,13.7,71.3,88.3,13.5,5.3,11.8,36.8,69.3,25.4,23.3,55.8,44.2,74.6
38,13.6,13.1,67.1,85.8,5.3,0.8,3.1,23.4,53.7,8.8,20.9,29.1,70.9,91.3
36,32.9,11,72.8,92.1,8.7,14.3,6.6,51.6,66.9,25.3,16.4,76.9,23.1,74.7
32,29.5,6.4,68.4,89.5,13.2,11.4,7,42.4,61.2,19.9,25.7,50,50,80.1
33,17,8,69.6,89.4,6.6,4.1,5.2,42.1,65.3,9.9,25.2,41.4,58.3,90.1
32,30.5,12.5,72.4,87.2,18.5,11.6,6.2,37,63.5,23.6,23.7,55.9,44.1,76.4
32,16,7.6,68.7,88.6,9.1,4.8,6.8,36.3,67.2,12,27.9,33.6,66.4,88
35,15.8,8.1,74,88.7,9.3,5.4,5.8,38.4,70.6,14.3,26.6,41,59,85.7
31,14.8,5.2,70.7,88.4,7.3,3.5,4.5,34.8,61,9.6,32.6,37.1,62.9,90.4
35,10.3,4.3,71.2,88.2,9.1,2.1,4.7,33,71.9,8.4,34.3,27,73,91.6
32,19.6,6.3,68.3,86.2,10,4.6,5,21.6,71.2,14.4,31.5,39.1,60.9,85.6
31,20.6,13.5,74.2,87.3,22.4,8.7,9.7,35.7,74.6,15.7,22.6,42.1,57.9,84.3
35,20.5,8.9,73.6,91.4,9.7,7.5,11.2,49.3,56.8,15.8,26.8,45.9,54.1,84.2
27,27.9,4.4,69,88.9,16.3,7.5,9,40.6,68,25,44.8,49.3,50.7,75
32,27.4,8.8,67.9,90.2,13,9.8,8,40.4,79.6,26.6,27.5,57.4,42.6,73.4
30,21.2,6.7,73.6,90.7,11,6.4,4.3,44,68.1,15.9,33.4,38.3,61.7,84.1
29,15,6.7,74.1,86,9.5,2.7,2.7,28.3,64.1,11,27.2,31.7,68.3,89
30,30.6,4.2,72.9,88.3,13.2,7.5,4.3,30.1,71.9,19.8,40.1,52.1,47.9,80.2
30,24.6,4.8,73.3,88.8,14.7,5.5,5.1,36.4,71.8,21.3,37.9,41.3,58.7,78.7
32,27.2,12,67.8,89.3,12.3,5.5,7.8,40.1,52.9,17.6,11.7,38.9,61.1,82.1
28,25.9,6.8,73.8,86.3,-3.5,6.8,2.3,26.1,59.8,16.5,31.2,53.1,46.9,83.5
29,17.8,11.3,74,83,9.7,1.9,3.8,17.6,68.8,17.4,28.4,28.6,71.4,82.6
29,22,11.7,71.1,89.4,13.8,7.5,7.5,38.3,63.8,20.5,27.7,36.8,63.2,79.3
32,23.5,10.6,70.4,87.6,17.9,6.9,6.5,36.1,67.2,19.8,34.2,35.7,64.3,80.2
30,17.8,12.2,68.2,87.7,12,2.4,5.7,30.9,59.8,9.9,16.3,35.9,64.1,90.1
30,24.4,6,73.5,90.8,2.1,7.2,4.8,46,71.7,17.8,32.8,48.1,51.9,82.2
32,17.2,7.8,71.2,88.1,14.1,5.5,5.8,34.4,65.4,11.5,26.5,42.4,57.6,88.5
29,15.4,4.9,71.8,88.2,17.7,5.5,6.6,35.8,76.6,13.7,37.4,38.6,61.4,86.3
28,22.5,3.4,68.2,88.2,6.2,3.8,3.1,29.9,72.1,16.7,35.7,40.6,59.4,83.3
