"name" "year" "player_age" "b_total_pa" "b_k_pct" "b_bb_pct" "ops" "xops" "xba" "xslg" "xwoba" "xobp" "xiso" "exit_velocity_avg" "launch_angle_avg" "barrel_batted_rate" "solidcontact_pct" "hard_hit_pct" "z_swing_pct" "z_swing_miss_pct" "oz_swing_pct" "oz_swing_miss_pct" "oz_contact_pct" "iz_contact_pct"
"72" "Colin Moran" 2020 28 200 26 9.5 79.7 81.4 25.5 48 33.6 33.4 22.4 91.9 8.3 13.4 2.4 47.2 68.7 17.3 35.6 43.6 56.4 82.7
"73" "Mike Moustakas" 2020 32 163 22.1 11 79.9 77.8 24.2 43.6 32.2 34.2 19.4 88.8 16.3 9.5 4.8 40 68.7 15.2 29.5 43.3 56.7 84.8
"74" "Shohei Ohtani" 2020 26 175 28.6 12.6 65.7 75.8 23.5 42.6 32.2 33.2 19.1 89.1 9.2 10.7 5.8 42.7 65 26.3 24.1 48.9 51.1 73.7
"75" "Dexter Fowler" 2020 34 101 27.7 9.9 70.6 65.2 21.5 35.1 28.1 30.1 13.6 84.5 11.2 4.8 12.9 27.4 71.1 26.7 22.5 46.3 53.7 73.3
"76" "Brock Holt" 2020 32 106 22.6 8.5 55.7 58.9 22.6 29.1 26.2 29.8 6.6 84 10.5 1.4 1.4 18.1 60.5 13.5 22.7 36.5 63.5 86.5
"77" "Jose Peraza" 2020 26 120 15 4.2 61.7 65.3 24 36.1 27.9 29.2 12.1 85.4 20 4.3 5.3 27.7 71.1 10.9 40.8 38.2 61.8 89.1
"78" "Mike Yastrzemski" 2020 30 225 24.4 13.3 96.8 86 25.5 49.6 35.5 36.4 24.1 88.2 18.4 10.9 9.5 42.3 58 19 19.8 41.9 58.1 81
"79" "Aaron Judge" 2020 28 114 28.1 8.8 88.8 89.2 26.6 54.6 36.1 34.6 27.9 92.2 15.7 11.6 10.1 40.6 68.9 19.2 22.9 66.7 33.3 80.1
"80" "Dylan Moore" 2020 28 159 27 8.8 85.5 81.9 25.1 46.4 34.3 35.5 21.3 90.4 17.3 13.8 3.2 44.7 57.8 19.7 25.4 44 56 80.3
"81" "Eduardo Escobar" 2020 31 222 18.5 6.8 60.5 71.3 26.3 39.5 29.4 31.8 13.2 88.6 18.1 5.5 3.7 31.7 69.9 12.9 35.2 36.6 63.4 87.1
"82" "Brandon Nimmo" 2020 27 225 19.1 14.7 88.8 80.6 25.1 42.4 34.9 38.2 17.3 87.2 7.6 7.7 4.2 32.9 66.7 16.6 16.9 41.7 58.3 83.4
"83" "Jorge Soler" 2020 28 174 34.5 10.9 76.5 82.9 24.4 49 33.8 33.9 24.7 92.5 15.5 18.9 6.7 51.1 56.5 26.3 23.4 58.3 41.7 73.7
"84" "Edward Olivares" 2020 24 101 24.8 4 64.2 65.2 25.9 36.6 27.8 28.6 10.8 82.7 7.6 5.6 2.8 27.8 70.5 19.1 32.1 35.8 64.2 80.9
"85" "Tony Wolters" 2020 28 109 27.5 5.5 54.5 65.4 26.2 34.4 28.1 31 8.2 84.1 8.2 0 5.6 20.8 59 15.3 27.2 54.5 45.5 84.7
"86" "David Peralta" 2020 33 218 20.6 6 77.3 68.1 26.3 37.5 29.2 30.6 11.3 89.2 6.4 5 6.3 36.3 65.5 15.5 26.6 35.8 64.2 84.5
"87" "Josh Donaldson" 2020 35 102 23.5 17.6 84.2 80 22.1 42.3 34.4 37.7 20.3 92.8 6.2 6.9 5.2 53.4 63.9 24.6 21.3 56.4 43.6 75.4
"88" "Daniel Murphy" 2020 35 132 15.9 5.3 60.6 62.3 23.9 34.5 25.9 27.8 10.7 85.1 15.5 4.9 1.9 25.2 72.2 9.1 32 27.4 72.6 90.4
"89" "Matt Kemp" 2020 36 132 31.1 11.4 74.5 75 22.7 43.5 31.2 31.5 20.8 85.3 11.9 7.9 9.2 28.9 65.4 28.2 28.5 49.5 50.5 71.8
"90" "Joey Wendle" 2020 30 184 19 5.4 77.7 69.4 25.6 37.7 29.6 31.7 12.1 86.7 5.1 3.7 3.7 32.1 63.8 7.7 36.3 37.3 62.7 92.3
"91" "Ketel Marte" 2020 27 195 10.8 3.6 73.2 68.8 26.5 37.9 29.5 30.9 11.4 89.2 10 3.7 6.1 40.5 61.6 9.2 28 25 75 90.8
"92" "Ender Inciarte" 2020 30 131 19.1 9.2 51 54.6 21.1 26.2 24.8 28.4 5.1 78.2 8.4 1.1 0 6.4 65.1 20 27.2 34.8 65.2 80
"93" "Kole Calhoun" 2020 33 228 21.9 12.3 86.4 89 26.4 51.9 36.4 37.1 25.5 89.4 17 11.8 8.3 38.2 75.8 23.2 21.5 62.1 37.9 76.8
"94" "Enrique Hernandez" 2020 29 148 20.9 4.1 68 65.5 22.6 38.5 27.9 27 15.9 88.5 16.2 7.3 9.2 43.1 70.7 15.7 30.1 44.2 55.8 84.3
"95" "Orlando Arcia" 2020 26 189 16.9 7.4 73.4 76.7 28.1 42.8 32.5 33.9 14.7 89 9.6 5.6 6.3 38.7 67.2 19.3 28 31.7 68.3 80.7
"96" "Austin Slater" 2020 28 104 21.2 15.4 91 96.8 30.5 54.2 40.1 42.6 23.7 89.2 10.9 14.1 4.7 45.3 63.5 17.2 20 50 50 82.8
"97" "Yadier Molina" 2020 38 156 13.5 3.8 66 68.4 25.6 38.6 28.7 29.8 13 84.7 12.3 2.4 7.9 25.4 72.2 14.7 39.5 38.8 61.2 85.3
"98" "Sam Hilliard" 2020 26 114 36.8 7.9 71 60.2 19.1 34.6 25.7 25.6 15.5 88.3 10.8 9.5 3.2 44.4 65.7 28.8 29.3 59.2 40.8 71.2
"99" "Juan Soto" 2020 22 196 14.3 20.9 118.5 116.7 33.2 69.1 45.1 47.6 35.9 92.1 4.3 18.3 6.3 51.6 61.2 15.5 15.7 40.3 59.7 84.5
"100" "Tim Anderson" 2020 27 221 22.6 4.5 88.6 84 29.3 50.9 34.7 33.1 21.6 87.2 6.7 10.1 4.4 35.8 73.2 23.2 39.2 43.6 56.4 76.8
"101" "Jean Segura" 2020 30 217 20.7 10.6 76.7 72.3 25 39 30.7 33.3 14 87.7 11.2 6.1 3.4 38.5 64.4 16.2 30.9 33.3 66.7 83.8
"102" "Nick Ahmed" 2020 30 217 21.2 8.3 72.9 69 24.7 38 29.5 31 13.3 87.7 9.4 5.2 5.2 33.3 68.8 20.8 30.1 40.7 59.3 79.2
"103" "Scott Kingery" 2020 26 124 28.2 7.3 50.9 69.3 22.1 40.6 29.2 28.7 18.5 85.3 16.9 10.1 2.5 31.6 71.2 28 31.5 39.7 60.3 72
"104" "Gleyber Torres" 2020 24 160 17.5 13.8 72.4 72.9 23.9 37.5 31.7 35.4 13.6 88.8 14.7 3.7 6.5 38.3 67 22 20.1 46.5 53.5 78
"105" "Yandy Diaz" 2020 29 138 12.3 16.7 81.4 71.3 25.1 33 32.2 38.3 7.9 88.3 -7.9 2.1 3.1 30.9 56.7 12.1 19.6 23.4 76.6 87.9
"106" "Nico Hoerner" 2020 23 126 19 9.5 56.9 64.6 24.2 31.5 28.9 33.1 7.2 87.5 0.8 1.2 5.8 37.2 57.3 7.8 31.8 35.2 64.8 92.2
