player_age,b_k_pct,b_bb_pct,ops,exit_velocity_avg,launch_angle_avg,barrel_batted_rate,solidcontact_pct,hard_hit_pct,z_swing_pct,z_swing_miss_pct,oz_swing_pct,oz_swing_miss_pct,oz_contact_pct,iz_contact_pct
33,18.6,16,88.2,89.2,11.7,10.7,7.4,40.9,61.1,19.6,22.5,33.3,66.7,80.4
23,20.2,7.9,83.7,91.1,14.9,9.1,6.7,44.5,77.5,17.4,26.2,36.1,63.9,82.6
29,23.2,14.5,99.3,93.7,23.1,15,8.2,55.1,57.4,13.8,14.4,43.7,56.3,86.2
29,23.1,7.3,94.8,89,15.5,13.1,6.3,39.9,79.2,19.3,27.5,50,50,80.7
31,20.4,16.6,84.8,87.6,11.3,4.5,8,40.2,56.3,19.1,18.4,36.4,63.6,80.9
28,14.6,10.2,95,90.2,15.6,11,3.7,43.5,71.5,14.7,24.1,40.7,59.3,85.3
26,18.4,6.8,76.6,85.3,1.8,2,2.7,30,70.8,12.6,30.2,33.9,66.1,87.4
25,29.5,6.7,58.9,91,6.7,7.6,3.3,48.9,62.2,19.1,33.3,43.2,56.8,80.9
21,23.7,10.5,93.7,95.9,8.7,19.5,7.9,62.2,71.7,23.8,25.6,38.7,61.3,76.2
37,17,7,70.5,88.8,7.3,6.6,6.6,39.5,65.9,12.3,35.7,35.2,64.8,87.7
31,19.8,10.9,82.6,89,15.2,5.5,7.8,37.5,66,12.8,21.7,34.9,65.1,87.2
26,27.5,15.6,90.5,89.3,11.5,12.5,8,42.5,59.9,22.9,13.8,64,36,77.1
32,18.6,13.7,65.2,85.1,2.9,0.8,5,26.4,61.5,13.4,23.5,34.4,65.6,86.6
26,24.2,5.2,71.4,88.4,15.3,2.8,3.7,31.7,66,19.1,31.3,31.6,68.4,80.9
33,20,9.5,69.2,85.9,19.1,4.8,4.8,29.3,68.1,16.2,25.7,39.1,60.9,83.5
30,18.6,8.1,62.9,86.7,9.3,4.6,5.9,33.3,67.2,12.6,35.2,32.7,67.3,87.4
31,17.9,5.8,85.1,90.8,8.7,10.3,6.8,47,69,14.4,34,30.5,69.5,85.6
27,27.6,11.7,71.1,92.4,9.3,10.5,7,52.3,58.5,20.5,21.6,45.6,54.4,79.5
32,13.5,7.2,58.2,88.5,9.2,5.7,9.1,37.5,65.9,12.4,26,37.7,62.3,87.6
30,11.8,6.3,82.6,83.8,17.8,4.2,6.8,27.9,73.8,13.3,32.3,32.2,67.8,86.7
28,31.5,6.5,84.9,89.5,11,10.9,7.8,45.3,57.2,23.6,26.3,53.1,46.9,76.4
31,23.1,12.5,66,86.9,16.2,1.5,4.6,35.4,70.9,22.6,16.3,36.7,63.3,77.4
28,15.4,9.8,92.7,90.7,18.5,7.7,11,43.4,58.1,6.7,23.1,31.5,68.5,93.3
32,34.5,10,48,86,-2.5,3.4,5.1,32.2,52.7,26.8,15.6,42.9,57.1,73.2
25,30,4.7,70.7,90.6,13.7,7.3,2.6,39.1,75.8,31.9,34.8,56.3,43.7,68.1
39,12.5,7.9,73.4,88.3,12.6,5.8,3.7,36.6,59.7,11.1,30.7,30.2,69.8,88.9
36,19.7,8.7,74.4,90.3,12.3,6.4,7.2,44.7,67.9,14.7,33.9,41,59,85.3
36,35.7,6.1,43.3,86.1,16.8,1.4,3.5,26.4,68.4,30.6,34.2,50,50,69.4
37,16.3,5.9,73.6,90.9,7.4,7.4,6.2,46.3,74.2,10.8,35.5,35.3,64.7,89.2
36,21.2,11.9,87.5,90.2,22.3,12.9,5.7,42.9,65.8,20.4,25.2,36.2,63.8,79.6
34,19.1,5.9,72.7,86.1,13.4,6.7,5.4,31,71.6,15.1,39.1,45.8,54.2,84.9
36,24.1,12,66.7,88.2,10.6,5.3,2,34,61.2,18.5,17.2,60.5,39.5,81.5
38,27,11.3,63.7,88.8,19.3,7.2,6.8,34.8,59.1,15.1,22.1,47.3,52.7,84.9
